id;task;action;hour;minute;second;millisecond
15;securicast;writing characteristic;16;47;4;776
15;securicast;handling response;16;47;5;746
15;securicast_notification;user credentials;16;49;50;372
15;securicast_notification;sign in;16;49;53;387
15;securicast_notification;start web bluetooth;16;49;56;412
15;securicast_notification;connecting;16;49;59;474
15;securicast_notification;getting service;16;50;0;326
15;securicast_notification;getting characteristic;16;50;2;922
15;securicast_notification;writing characteristic;16;50;2;927
15;securicast_notification;handling response;16;50;9;501
15;google;user credentials;16;51;32;224
15;google;sign in;16;51;34;389
15;google;totp;16;51;44;360
15;google;verify pin;16;51;46;455
17;securicast_notification;user credentials;17;3;3;277
17;securicast_notification;sign in;17;3;6;591
17;securicast_notification;start web bluetooth;17;3;12;559
17;securicast_notification;connecting;17;3;17;981
17;securicast_notification;getting service;17;3;18;392
17;securicast_notification;getting characteristic;17;3;20;986
17;securicast_notification;writing characteristic;17;3;20;990
17;securicast_notification;handling response;17;3;30;85
17;securicast;user credentials;17;5;28;552
17;securicast;sign in;17;5;31;836
17;securicast;start web bluetooth;17;5;45;627
17;securicast;connecting;17;5;48;986
17;securicast;getting service;17;5;49;590
17;securicast;getting characteristic;17;5;51;974
17;securicast;writing characteristic;17;5;51;981
17;securicast;handling response;17;5;53;231
17;google;user credentials;17;7;3;366
17;google;sign in;17;7;6;996
17;google;totp;17;7;12;237
17;google;verify pin;17;7;15;968
16;securicast_notification;user credentials;19;22;39;232
16;securicast_notification;sign in;19;22;43;541
16;securicast_notification;start web bluetooth;19;22;47;757
16;securicast_notification;connecting;19;22;53;298
16;securicast_notification;getting service;19;22;54;739
16;securicast_notification;getting characteristic;19;22;57;749
16;securicast_notification;writing characteristic;19;22;57;757
16;securicast_notification;handling response;19;23;15;592
16;google;user credentials;19;25;25;615
16;google;sign in;19;25;32;917
16;google;totp;19;25;48;480
16;google;verify pin;19;25;53;934
16;securicast;user credentials;19;27;48;480
16;securicast;sign in;19;27;53;407
16;securicast;start web bluetooth;19;27;56;64
16;securicast;connecting;19;27;59;945
16;securicast;getting service;19;28;0;415
16;securicast;getting characteristic;19;28;3;153
16;securicast;writing characteristic;19;28;3;157
16;securicast;handling response;19;28;3;919
18;google;user credentials;21;5;2;746
18;google;sign in;21;5;13;311
18;google;totp;21;5;18;810
18;google;verify pin;21;5;27;430
18;securicast;user credentials;21;11;39;464
18;securicast;sign in;21;11;47;302
18;securicast;start web bluetooth;21;11;51;287
18;securicast;connecting;21;11;56;307
18;securicast;getting service;21;11;57;3
18;securicast;getting characteristic;21;11;59;501
18;securicast;writing characteristic;21;11;59;505
18;securicast;handling response;21;12;0;204
18;securicast_notification;user credentials;21;15;53;79
18;securicast_notification;sign in;21;16;3;638
18;securicast_notification;start web bluetooth;21;16;8;943
18;securicast_notification;connecting;21;16;17;914
18;securicast_notification;getting service;21;16;19;53
18;securicast_notification;getting characteristic;21;16;21;645
